0.001,0.001,0.001,1,1,0,0,0,1,0,0,0
0.04,0.04,0.02,0.1,1,0,0,0.02,1,0,0,0
0.02,0.02,0.046,0.1,1,0,0,0.046,1,0,0,0
0.02,0.02,0.035,0.1,0.1,0,0,0.035,1,0,0,0
0.02,0.02,0.02,0.1,1,0,0,0.02,1,0,0,0
0.02,0.02,0.046,0.1,1,0,0,0.046,1,0,0,0
0.02,0.02,0.035,0.1,0.1,0,0,0.035,1,0,0,0
0.02,0.02,0.02,0.1,1,0,0,0.02,1,0,0,0
0.02,0.02,0.046,0.1,1,0,0,0.046,1,0,0,0
0.02,0.02,0.035,0.1,0.1,0,0,0.035,1,0,0,0
0.02,0.02,0.02,0.1,1,0,0,0.02,1,0,0,0
0.02,0.02,0.046,0.1,1,0,0,0.046,1,0,0,0
0.02,0.02,0.035,0.1,0.1,0,0,0.035,1,0,0,0
0.02,0.02,0.02,0.1,1,0,0,0.02,1,0,0,0
0.02,0.02,0.046,0.1,1,0,0,0.046,1,0,0,0
0.02,0.02,0.035,0.1,0.1,0,0,0.035,1,0,0,0
0.02,0.02,0.02,0.1,1,0,0,0.02,1,0,0,0
