2.01,0.93,0.18,-1.57,-0.46,2.86,1.8,-1.16,0.85,0.09,-1.65,0.18,2.44,0.76
1.94032,0.879691,0.16781,-1.56905,-0.388524,2.85346,1.71092,-1.09338,0.848059,0.0234942,-1.67195,0.16853,2.44312,0.706233
1.87064,0.829382,0.15562,-1.56811,-0.317048,2.84692,1.62185,-1.02676,0.846118,-0.0430116,-1.69391,0.15706,2.44624,0.652467
1.80097,0.779073,0.143429,-1.56716,-0.245572,2.84037,1.53277,-0.960142,0.844178,-0.109517,-1.71586,0.145591,2.44936,0.5987
1.73129,0.728765,0.131239,-1.56622,-0.174096,2.83383,1.44369,-0.893522,0.842237,-0.176023,-1.73782,0.134121,2.45248,0.544934
1.66161,0.678456,0.119049,-1.56527,-0.10262,2.82729,1.35461,-0.826903,0.840296,-0.242529,-1.75977,0.122651,2.4556,0.491168
1.59193,0.628147,0.106859,-1.56433,-0.0311446,2.82075,1.26554,-0.760284,0.838355,-0.309035,-1.78173,0.111181,2.45872,0.437401
1.52225,0.577838,0.0946688,-1.56338,0.0403314,2.81421,1.17646,-0.693664,0.836414,-0.375541,-1.80368,0.0997113,2.46184,0.383635
1.45258,0.527529,0.0824786,-1.56244,0.111807,2.80766,1.08738,-0.627045,0.834474,-0.442046,-1.82564,0.0882414,2.46496,0.329868
1.3829,0.47722,0.0702885,-1.56149,0.183283,2.80112,0.998306,-0.560426,0.832533,-0.508552,-1.84759,0.0767716,2.46808,0.276102
1.31322,0.426912,0.0580983,-1.56055,0.254759,2.79458,0.909229,-0.493806,0.830592,-0.575058,-1.86955,0.0653018,2.4712,0.222335
1.24354,0.376603,0.0459081,-1.5596,0.326235,2.78804,0.820152,-0.427187,0.828651,-0.641564,-1.8915,0.053832,2.47432,0.168569
1.17386,0.326294,0.033718,-1.55865,0.397711,2.7815,0.731075,-0.360568,0.82671,-0.708069,-1.91346,0.0423622,2.47744,0.114802
1.10418,0.275985,0.0215278,-1.55771,0.469187,2.77495,0.641998,-0.293948,0.82477,-0.774575,-1.93541,0.0308923,2.48056,0.0610355
1.03451,0.225676,0.00933761,-1.55676,0.540663,2.76841,0.55292,-0.227329,0.822829,-0.841081,-1.95736,0.0194225,2.48368,0.00726902
0.915454,0.235191,-0.0445828,-1.53689,0.58649,2.7616,0.525077,-0.253089,0.840952,-0.896929,-1.96949,-0.045611,2.48166,-0.0489419
0.7964,0.244707,-0.0985033,-1.51702,0.632317,2.75479,0.497234,-0.27885,0.859076,-0.952778,-1.98161,-0.110644,2.47964,-0.105153
0.677347,0.254222,-0.152424,-1.49714,0.678144,2.74797,0.46939,-0.30461,0.8772,-1.00863,-1.99374,-0.175678,2.47762,-0.161364
0.558294,0.263737,-0.206344,-1.47727,0.723971,2.74116,0.441547,-0.330371,0.895323,-1.06447,-2.00586,-0.240711,2.47559,-0.217575
0.439241,0.273253,-0.260265,-1.4574,0.769798,2.73435,0.413703,-0.356132,0.913447,-1.12032,-2.01799,-0.305745,2.47357,-0.273786
0.320187,0.282768,-0.314185,-1.43752,0.815625,2.72753,0.38586,-0.381892,0.93157,-1.17617,-2.03011,-0.370778,2.47155,-0.329996
0.201134,0.292283,-0.368106,-1.41765,0.861452,2.72072,0.358016,-0.407653,0.949694,-1.23202,-2.04224,-0.435812,2.46953,-0.386207
0.082081,0.301799,-0.422026,-1.39777,0.907279,2.71391,0.330173,-0.433413,0.967817,-1.28787,-2.05436,-0.500845,2.4675,-0.442418
-0.0369723,0.311314,-0.475946,-1.3779,0.953106,2.70709,0.302329,-0.459174,0.985941,-1.34372,-2.06649,-0.565879,2.46548,-0.498629
-0.156026,0.320829,-0.529867,-1.35803,0.998933,2.70028,0.274486,-0.484934,1.00406,-1.39956,-2.07861,-0.630912,2.46346,-0.55484
-0.275079,0.330345,-0.583787,-1.33815,1.04476,2.69347,0.246643,-0.510695,1.02219,-1.45541,-2.09073,-0.695946,2.46144,-0.611051
-0.394132,0.33986,-0.637708,-1.31828,1.09059,2.68665,0.218799,-0.536456,1.04031,-1.51126,-2.10286,-0.760979,2.45942,-0.667262
-0.513185,0.349375,-0.691628,-1.29841,1.13641,2.67984,0.190956,-0.562216,1.05844,-1.56711,-2.11498,-0.826013,2.45739,-0.723473
